NAME,Total,White,Black,Asian,Latino,state,White Avg,Black Avg,Asian Avg,Latino Avg
Tennessee,6346105.0,4921948.0,1057315.0,91242.0,103173.0,47,77.5585654507765,16.660849450174556,1.4377637936970789,1.6257688771301453
Texas,25145561.0,17701552.0,2979598.0,964596.0,642522.0,48,70.39632959471454,11.849399581898371,3.8360488358163893,2.555210440522683
Utah,2763885.0,2379560.0,29287.0,55285.0,70121.0,49,86.09475430417692,1.0596316416927622,2.000264120974643,2.537044775741393
Vermont,625741.0,596292.0,6277.0,7947.0,10143.0,50,95.2937397421617,1.0031306882560038,1.2700142710802074,1.620958191967603
Virginia,8001024.0,5486852.0,1551399.0,439890.0,214276.0,51,68.57687216036348,19.39000557928585,5.497921266077942,2.6781072022781087
Washington,6724540.0,5196362.0,240042.0,481067.0,282352.0,53,77.27460911824451,3.569641938333328,7.1539019769382,4.19882995714205
West Virginia,1852994.0,1739988.0,63124.0,12406.0,25650.0,54,93.90143734950033,3.406594948499563,0.6695110723510168,1.384246252281443
Wisconsin,5686986.0,4902067.0,359148.0,129234.0,97512.0,55,86.19797903494047,6.315260842913979,2.2724515235310934,1.714651662585419
Wyoming,563626.0,511279.0,4748.0,4426.0,11770.0,56,90.71245826132932,0.8424025861120673,0.7852725033976431,2.088264203567614
Puerto Rico,3725789.0,2825100.0,461498.0,6831.0,109527.0,72,75.82554997075786,12.38658442547337,0.18334371592164772,2.9396994837871926
