NAME,Total,White,Black,Asian,Latino,state,White Avg,Black Avg,Asian Avg,Latino Avg
Alabama,4779736.0,3275394.0,1251311.0,53595.0,67039.0,01,68.52667176597201,26.17950029039261,1.1212962389554568,1.4025670037006228
Alaska,710231.0,473576.0,23263.0,38135.0,47286.0,02,66.67915086781625,3.2754132106314704,5.3693798214946975,6.657833859687905
Arizona,6392017.0,4667121.0,259008.0,176695.0,203062.0,04,73.01484022961766,4.052054304611518,2.7643074165791486,3.176806319507598
Arkansas,2915918.0,2245229.0,449895.0,36102.0,54253.0,05,76.99904455475085,15.428931814955016,1.2381006598951,1.8605804415624858
California,37253956.0,21453934.0,2299072.0,4861007.0,1673501.0,06,57.58833773250819,6.171349963477704,13.048297474770196,4.492143062605217
Louisiana,4533372.0,2836192.0,1452396.0,70132.0,67175.0,22,62.56252520199092,32.03787379460587,1.5470162166263877,1.4817888318011405
Kentucky,4339367.0,3809537.0,337520.0,48930.0,70782.0,21,87.79015464697962,7.778092979920805,1.1275838157961748,1.6311595677434059
Colorado,5029196.0,4089202.0,201737.0,139028.0,158973.0,08,81.30925897499321,4.011317117089889,2.7644180103539413,3.1610022755128253
Connecticut,3574097.0,2772410.0,362296.0,135565.0,85501.0,09,77.56952315507945,10.136714252579043,3.7929860325559153,2.392240613503215
Delaware,897934.0,618617.0,191814.0,28549.0,22087.0,10,68.8933707822624,21.36170364414311,3.179409622533505,2.4597576213841994
District of Columbia,601723.0,231471.0,305125.0,21056.0,15273.0,11,38.4680326329557,50.70854861788564,3.499284554520934,2.538211103780311
Florida,18801310.0,14109162.0,2999862.0,454821.0,440616.0,12,75.04350494726165,15.955600966102896,2.419092073903361,2.343538827879547
Georgia,9687653.0,5787440.0,2950435.0,314467.0,191569.0,13,59.740372616566674,30.45562222346321,3.2460597009409815,1.9774552205781937
Hawaii,1360301.0,336599.0,21424.0,525078.0,206989.0,15,24.74444994159381,1.574945545140377,38.600133352838824,15.216411661830728
Idaho,1567582.0,1396487.0,9810.0,19069.0,36573.0,16,89.08541945493123,0.6258045831095279,1.21645948983849,2.3330836919535947
Illinois,12830632.0,9177877.0,1866414.0,586934.0,272768.0,17,71.53098148243984,14.546547668111751,4.574474585507557,2.125912425825945
Indiana,6483802.0,5467906.0,591397.0,102474.0,120347.0,18,84.33178557889337,9.121145278649779,1.5804615871983754,1.8561177531331154
Iowa,3046355.0,2781561.0,89148.0,53094.0,50055.0,19,91.30784166651621,2.9263825128719403,1.7428697574642482,1.6431111935411338
